,wikicfp_conferenceseries
0,Testbeds and Research Infrastructures for the DEvelopment of NeTworks and COMmunities
1,International World Wide Web Conferences
2,Architectural Support for Programming Languages and Operating Systems
3,High Performance Bioinformatics and Biomedicine
4,Graph-based Methods for Natural Language Processing
5,European Conference on Computer Supported Cooperative Work
6,International Conference on Electronic Business
7,International Conference on Ultra Modern Telecommunications
8,"Design, Automation, and Test in Europe"
9,Human-Robot Interaction
10,Picture Coding Symposium
11,Symposium on Code Generation and Optimization
12,Communication Systems and Networks
13,Intelligent Human Computer Interaction
14,International Conference on Management of Data
15,ACM Symposium on Applied Computing
16,Requirements Engineering
17,"International Conference on Software Testing, Verification, and Validation"
18,Variability Modelling of Software-Intensive Systems
19,Intelligent Systems Design and Applications
20,Workflows in Support of Large-Scale Science
21,Model and Data Engineering
22,International Conference on Information Technology
23,Hardware-Oriented Security and Trust
24,Wireless Communications and Networking Conference
25,High-Performance Computer Architecture
26,Cluster Computing and the Grid
27,Cloud Computing
28,"Abstract State Machines, Alloy, B and Z"
29,International Conference on Software Engineering Advances
30,International Conference on Systems and Networks Communications
31,International Symposium on Computational Intelligence and Design
32,National Conference on Artificial Intelligence
33,Network Computing and Applications
34,International Conference on Pattern Recognition Applications and Methods
35,International Conference on Biomedical Electronics and Devices
36,International Conference on Bioinformatics
37,"International Joint Conference on Computer Vision, Imaging and Computer Graphics Theory and Applications"
38,International Conference on Computer Graphics Theory and Applications
39,International Conference on Information Visualization Theory and Applications
40,International Conference on Computer Vision Theory and Applications
41,International Conference on Bio-inspired Systems and Signal Processing
42,International Conference on Health Informatics
43,Biomedical Engineering Systems and Technologies
44,International Conference on Model-Driven Engineering and Software Development
45,"International Conference on Photonics, Optics and Laser Technology"
46,Security and Trust Management
47,Pervasive Computing and Communications
48,Taiwan Conference on Computational Linguistics and Speech Processing
49,Programming Language Design and Implementation
50,Evolutionary Computation in Combinatorial Optimization
51,European Conference/Workshop on Wireless Sensor Networks
52,"ACM Symposium on Information, Computer and Communications Security"
53,Intelligent RObots and Systems
54,Mobile and Ubiquitous Multimedia
55,Human Factors in Computing Systems
56,International Conference on Data Engineering
57,Conference on Data and Application Security and Privacy
58,International Conference on Information Networking
59,Virtual Reality Continuum and its Applications in Industry
60,Quality of Service in Heterogeneous Wired/Wireless Networks
61,Extending Database Technology
62,Image and Vision Computing New Zealand
63,Australasian Computing Education Conference
64,Technical Symposium on Computer Science Education
65,International Conference on Systems
66,Advances in Multimedia
67,"Broadband Communications, Networks and Systems"
68,Integrating Technology into Computer Science Education
69,The Cryptographer's Track at RSA Conference
70,Wireless Personal Multimedia Communications
71,Adaptive and Reflective Middleware
72,"New Trends in Software Methodologies, Tools and Techniques"
73,Information Processing and Management of Uncertainty
74,Dependable Systems and Networks
75,"Parallel, Distributed and Network-Based Processing"
76,Cloud Computing Projects and Initiatives
77,Conference on Decision and Control
78,Performance Evaluation Methodolgies and Tools
79,Pervasive Computing Technologies for Healthcare
80,"Mobile Computing, Applications, and Services"
81,Multimedia Signal Processing
82,ACM SIGMM Conference on Multimedia Systems
83,High Performance Switching and Routing
84,Research Challenges in Information Science
85,International Conference on Networks and Communications
86,"International Conference on Acoustics, Speech, and Signal Processing"
87,International Conference in Information Technology
88,"Knowledge, Information, and Creativity Support Systems"
89,Database Systems for Advanced Applications
90,International Symposium on Artificial Intelligence and Mathematics
91,International Conference on Social Computing
92,Integer Programming and Combinatorial Optimization
93,Adaptive Agents and Multi-Agents Systems
94,Parallel Problem Solving from Nature
95,World Congress on Computational Intelligence
96,Software Engineering for Adaptive and Self-Managing Systems
97,Virtual Execution Environments
98,Symposium on Theoretical Aspects of Computer Science
99,Trends in Functional Programming
100,Computer Graphics International
101,Meeting of the Association for Computational Linguistics
102,Language and Automata Theory and Applications
103,Compiler Construction
104,International Conference on Computing
105,International Conference on the Digital Society
106,Advances in Computer-Human Interaction
107,"International Conference on eHealth, Telemedicine, and Social Medicine"
108,"International Conference on Information, Process, and Knowledge Management"
109,Network and Distributed System Security Symposium
110,SIAM International Conference on Data Mining
111,International Conference in Central Europe on Computer Graphics and Visualization
112,Belgium-Netherlands Conference on Artificial Intelligence
113,IEEE Virtual Reality Conference
114,Software Engineering and Applications
115,Data Warehousing and OLAP
116,Theory and Applications of Models of Computation
117,International Symposium on Wireless Communication Systems
118,IEEE Pacific Visualization Symposium
119,International Conference on Parallel Processing
120,International Symposium on Performance Analysis of Systems and Software
121,International Conference on Web Services
122,Privacy in Statistical Databases
123,Intelligent Data Analysis
124,Solid and Physical Modeling
125,"User Modeling, Adaptation, and Personalization"
126,Design of Reliable Communication Networks
127,Design Automation Conference
128,Eurographics Workshop on Parallel Graphics and Visualization
129,International Conference on Smart Grids and Green IT Systems
130,The Florida AI Research Society
131,Applied Natural Language Processing Conference
132,International Symposium on Quality Electronic Design
133,Passive and Active Network Measurement
134,Symposium on Access Control Models and Technologies
135,Software Engineering im Unterricht der Hochschulen
136,International Symposium on Information Theory and its Applications
137,VLSI Test Symposium
138,Engineering Interactive Computing System
139,International Conference on Multimedia and Expo
140,"Mobile Wireless Middleware, Operating Systems, and Applications"
141,Information Processing in Sensor Networks
142,Mining Software Repositories
143,Intelligent Systems
144,Conferencia Iberoamericana de Software Engineering
145,Hybrid Systems
146,International Conference on Cyber-Physical Systems
147,Ant Colony Optimization and Swarm Intelligence
148,International Conference on Machine Learning
149,"Simulation Tools and Techniques for Communications, Networks and System"
150,International Conference on Pattern Recognition
151,Cryptology and Network Security
152,Mobile Ad-hoc and Sensor Networks
153,Symposium on the Theory of Computing
154,International Conference on Networking and Services
155,International Conference on Autonomic and Autonomous Systems
156,"Databases, Knowledge, and Data Applications"
157,"Biocomputation, Bioinformatics, and Biomedical Technologies"
158,Computer Vision and Pattern Recognition
159,International Conference on Image Processing
160,International Conference on Machine Learning and Applications
161,Educational Data Mining
162,Applied Reconfigurable Computing
163,International Conference on Program Comprehension
164,Research in Computational Molecular Biology
165,Advances in Model-Based Software Testing
166,Soft Computing
167,Computational Intelligence in Security for Information Systems
168,International Conference on Automated Planning and Scheduling
169,Tools and Algorithms for Construction and Analysis of Systems
170,Concept Lattices and their Applications
171,Workshop on Biomedical Image Registration
172,International Symposium on Software Testing and Analysis
173,International Symposium on Ambient Intelligence
174,Extended Semantic Web Conference
175,Theory and Applications of Satisfiability Testing
176,Dependable Autonomic and Secure Computing
177,Workshop in Information Security Theory and Practice
178,Interactive 3D Graphics and Games
179,Computing Frontiers
180,Biometrics and Electronic Signatures
181,Conference on Advanced Information Systems Engineering
182,Central-European Workshop on Services and their Composition
183,Machine Learning and Data Mining in Pattern Recognition
184,The European Symposium on Artificial Neural Networks
185,International Conference on Knowledge Engineering and Ontology Development
186,Geometric Modeling and Processing
187,Euromicro Conference on Real-Time Systems
188,"International Conference on Informatics in Control, Automation and Robotics"
189,Symposium on Asynchronous Circuits and Systems
190,European Conference on Knowledge Management
191,Processing of the Portuguese Language
192,Field-Programmable Custom Computing Machines
193,Computer Aided Verification
194,European Workshop on Multi-Agent Systems
195,General Purpose Processing on Graphics Processing Units
196,International Conference on Software and Systems Process
197,International Joint Conference on Automated Reasoning
198,Logic in Computer Science
199,Automated Technology for Verification and Analysis
200,NASA Formal Methods
201,"World of Wireless, Mobile and Multimedia Networks"
202,Business Informatics Research
203,Articulated Motion and Deformable Objects
204,Intelligent Tutoring Systems
205,"Web Intelligence, Mining and Semantics"
206,Advances in Information Technology
207,Discovery Science
208,Developments in Language Theory
209,Pervasive Displays
210,Conference on Information Sciences and Systems
211,High Performance Distributed Computing
212,Business Information Systems
213,European Conference on Information Systems
214,Pervasive Technologies Related to Assistive Environments
215,Robotics
216,Workshop on Parallel and Distributed Simulation
217,Document Analysis Systems
218,Foundations of Digital Games
219,World Congress on Services
220,Intelligent Environments
221,Robot and Human Interactive Communication
222,Intelligent Vehicles Symposium
223,International ACM SIGIR Conference on Research and Development in Information Retrieval
224,Computer Software and Applications Conference
225,Industrial and Engineering Applications of Artificial Intelligence and Expert Systems
226,Digital Systems Design
227,Principles of Knowledge Representation and Reasoning
228,Knowledge Discovery and Data Mining
229,International Workshop on Spoken Dialogue Systems Technology
230,Computational Learning Theory
231,"Knowledge Acquisition, Modeling and Management"
232,Designing Interactive Systems
233,Advances in Databases and Information Systems
234,World Congress on Engineering
235,Agent and Multi-Agent Systems
236,Practical Applications of Agents and Multi-Agent Systems
237,Distributed Computing and Artificial Intelligence
238,Quality of Multimedia Experience
239,Advanced Visual Interfaces
240,Software Engineering and Knowledge Engineering
241,International Database Engineering and Applications Symposium
242,"Systems, Man and Cybernetics"
243,Model Driven Engineering Languages and Systems
244,Genetic and Evolutionary Computation Conference
245,"International Conference on Mobile Systems, Applications, and Services"
246,Symposium on Computational Geometry
247,"International Convention on Information and Communication Technology, Electronics and Microelectronics"
248,Fun with Algorithms
249,Distributed Computing in Sensor Systems
250,Very Large Data Bases
251,Communication Systems Networks and Digital Signal Processing
252,Canadian Conference on Electrical and Computer Engineering
253,Computational Aspects of Social Networks
254,Asia Pacific Conference on Circuits and Systems
255,Computational Models of Argument
256,Statistical and Scientific Database Management
257,International Conference on Cluster Computing
258,High Performance Computing Systems and Applications
259,Database Security
260,Medical Image Computing and Computer-Assisted Intervention
261,"Languages, Compilers, and Tools for Embedded Systems"
262,Location and the Web
263,Uncertainty in Artificial Intelligence
264,Learning and Intelligent Optimization
265,European Association for Machine Translation Conferences/Workshops
266,International Conference on Neural Computation Theory and Applications
267,Advances in Social Networks Analysis and Mining
268,Adaptive and Learning Agents
269,Reversible Computation
270,Conference on Combinatorial Optimization and Applications
271,Collaborative Computing
272,Software Engineering and Formal Methods
273,"Text, Speech and Dialogue"
274,Fundamental Approaches to Software Engineering
275,Formal Modeling and Analysis of Timed Systems
276,International Conference on Frontiers in Handwriting Recognition
277,Computing and Combinatorics Conference
278,High Performance Computing
279,Conference on Information and Knowledge Management
280,Wireless and Optical Communications Conference
281,Applications of Natural Language to Data Bases
282,ACM Multimedia
283,"International Conference on Simulation and Modeling Methodologies, Technologies and Applications"
284,International Conference on e-Business
285,International Conference on Security and Cryptography
286,International Conference on Wireless Information Networks and Systems
287,International Conference on Signal Processing and Multimedia Applications
288,Conference on Recommender Systems
289,Software Product Lines
290,Computer Science Symposium in Russia
291,Virtualization in High-Performance Cloud Computing
292,Theory and Practice of Digital Libraries
293,Open Source Systems
294,European Conference on Pattern Languages of Programs
295,"Conference on Privacy, Security and Trust"
296,Distributed Event-Based Systems
297,International Symposium on Memory Management
298,ACM/IEEE International Conference on Mobile Computing and Networking
299,Quality of Information and Communications Technology
300,Operating Systems Design and Implementation
301,"Conference on Applications, Technologies, Architectures, and Protocols for Computer Communication"
302,"Ad-Hoc, Mobile and Wireless Networks"
303,International Conference on Computer Communications and Networks
304,International Conference on Wireless and Mobile Communications
305,Symposium on Geometry Processing
306,Distributed Autonomous Robotic Systems
307,Conference of the International Speech Communication Association
308,Asia-Pacific Workshop on Systems
309,IFIP Trust Management
310,Mobile Data Management
311,Computer Animation and Social Agents
312,"Theory of Quantum Computation, Communication, and Cryptography"
313,Telecommunications and Signal Processing
314,VLSI Design and Test
315,Empirical Methods in Natural Language Processing
316,Generative Programming and Component Engineering
